Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
790,华神科技,1998-03-27,10,成都华神科技集团股份有限公司,"Chengdu Huasun Group Inc., Ltd.",5,工业,C81,医药制造业,C27,医药制造业,1988-03-03,四川省,510000,成都市,510100,私营企业,P0306,1998-03-27,CNY,0.0000,1.0000,CNY,17000,CNY,1992-09-01,1.000,2,A,,2024-01-15,,4
791,甘肃能源,1997-10-14,10,甘肃电投能源发展股份有限公司,"Gepic Energy Development Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,1997-09-12,甘肃省,620000,兰州市,620100,国营或国有控股,P0301,1997-10-14,CNY,4.4700,5.4700,CNY,45000,CNY,1997-08-29,1.000,2,A,,2024-03-19,,4
792,盐湖股份,1997-09-04,10,青海盐湖工业股份有限公司,"Qinghai Salt Lake Industry Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1997-08-25,青海省,630000,格尔木市,632801,国营或国有控股,P0301,1997-09-04,CNY,3.3500,4.3500,CNY,50000,CNY,1997-08-05,1.000,2,A,,2024-01-15,,4
793,华闻集团,1997-07-29,10,华闻传媒投资集团股份有限公司,"Huawen Media Group",2,公用事业,L01,出版业,R85,新闻和出版业,1992-12-17,海南省,460000,海口市,460100,国营或国有控股,P0301,1997-07-29,CNY,4.7400,5.7400,CNY,50000,CNY,1997-07-14,1.000,2,A,,2024-01-15,,4
795,英洛华,1997-08-08,10,英洛华科技股份有限公司,"Innuovo Technology Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,1997-08-04,浙江省,330000,东阳市,330783,私营企业,P0306,1997-08-08,CNY,4.3100,5.3100,CNY,55000,CNY,1997-07-18,1.000,2,A,,2024-01-15,,4
796,"*ST 凯撒",1997-07-03,10,凯撒同盛发展股份有限公司,"Caissa Tosun Development Co., Ltd.",2,公用事业,K99,其他社会服务业,L72,商务服务业,1993-03-01,海南省,460000,三亚市,460200,国营或国有控股,P0301,1997-07-03,CNY,6.7400,7.7400,CNY,30000,CNY,1997-06-18,1.000,2,A,,2024-01-15,,4
797,中国武夷,1997-07-15,10,中国武夷实业股份有限公司,"China Wu Yi Co., Ltd.",3,房地产,J,房地产业,K70,房地产业,1988-06-15,福建省,350000,福州市,350100,国营或国有控股,P0301,1997-07-15,CNY,5.7200,6.7200,CNY,77000,CNY,1997-06-25,1.000,2,A,,2024-01-15,,4
798,中水渔业,1998-02-12,10,中水集团远洋股份有限公司,"CNFC Overseas Fisheries Co., Ltd.",4,综合,A07,渔业,A04,渔业,1998-01-19,北京市,110000,北京市,110000,国营或国有控股,P0301,1998-02-12,CNY,6.2400,7.2400,CNY,63000,CNY,1997-11-24,1.000,2,A,,2024-01-15,,4
799,酒鬼酒,1997-07-18,10,酒鬼酒股份有限公司,"Jiugui Liquor Co., Ltd.",5,工业,C05,饮料制造业,C15,酒、饮料和精制茶制造业,1997-07-14,湖南省,430000,吉首市,433101,国营或国有控股,P0301,1997-07-18,CNY,7.0000,8.0000,CNY,55000,CNY,1997-06-24,1.000,2,A,,2024-01-15,,4
800,一汽解放,1997-06-18,10,一汽解放集团股份有限公司,"FAW Jiefang Group Co., Ltd",5,工业,C75,交通运输设备制造业,C36,汽车制造业,1997-06-10,吉林省,220000,长春市,220100,国营或国有控股,P0301,1997-06-18,CNY,5.8000,6.8000,CNY,300000,CNY,1997-05-29,1.000,2,A,,2024-01-15,,4
801,四川九洲,1998-05-06,10,四川九洲电器股份有限公司,"Sichuan Jiuzhou Electronic Co., Ltd.",5,工业,G,信息技术业,C39,计算机、通信和其他电子设备制造业,1993-11-13,四川省,510000,绵阳市,510700,国营或国有控股,P0301,1998-05-06,CNY,0.0000,1.0000,CNY,15000,CNY,1993-01-01,1.000,2,A,,2024-01-15,,4
